M_star,M_gas,gamma,R_c,T_m1,T_a1,q,incl,f_freeze,f_dissoc,f_1-0_12co,f_2-1_12co,f_3-2_12co,f_1-0_13co,f_2-1_13co,f_3-2_13co,f_1-0_c18o,f_2-1_c18o,f_3-2_c18o,f_1-0_c18o_low,f_2-1_c18o_low,f_3-2_c18o_low
0.5,1.00E-04,0,30,100,500,0.45,0,0.039,0.164,0.15,0.841,2.126,0.022,0.142,0.39,0.004,0.043,0.125,0.002,0.017,0.053
0.5,1.00E-04,0,30,100,500,0.45,45,0.039,0.164,0.158,0.835,2.043,0.023,0.162,0.452,0.005,0.045,0.133,0.002,0.018,0.055
0.5,1.00E-04,0,30,100,500,0.45,90,0.039,0.164,0.092,0.391,0.862,0.02,0.136,0.373,0.004,0.041,0.121,0.002,0.017,0.052
0.5,1.00E-04,0,30,100,750,0.45,0,0.029,0.169,0.212,1.407,3.862,0.02,0.152,0.455,0.004,0.039,0.122,0.001,0.015,0.048
0.5,1.00E-04,0,30,100,750,0.45,45,0.029,0.169,0.224,1.403,3.721,0.021,0.167,0.511,0.004,0.04,0.127,0.001,0.015,0.05
0.5,1.00E-04,0,30,100,750,0.45,90,0.029,0.169,0.16,0.813,1.903,0.019,0.147,0.453,0.004,0.037,0.118,0.001,0.015,0.048
0.5,1.00E-04,0,30,100,1000,0.45,0,0.024,0.187,0.25,1.864,5.47,0.019,0.152,0.474,0.003,0.035,0.114,0.001,0.013,0.043
0.5,1.00E-04,0,30,100,1000,0.45,45,0.024,0.187,0.263,1.891,5.381,0.019,0.162,0.521,0.003,0.036,0.118,0.001,0.013,0.045
0.5,1.00E-04,0,30,100,1000,0.45,90,0.024,0.187,0.209,1.283,3.21,0.017,0.145,0.474,0.003,0.033,0.11,0.001,0.013,0.043
0.5,1.00E-04,0,30,100,1500,0.45,0,0.018,0.175,0.273,2.384,7.815,0.016,0.14,0.459,0.002,0.028,0.096,0.001,0.01,0.035
0.5,1.00E-04,0,30,100,1500,0.45,45,0.018,0.175,0.288,2.491,8.041,0.016,0.144,0.487,0.003,0.029,0.098,0.001,0.01,0.036
0.5,1.00E-04,0,30,100,1500,0.45,90,0.018,0.175,0.25,2.078,6.23,0.014,0.129,0.45,0.002,0.027,0.092,0.001,0.01,0.035
0.5,1.00E-04,0,60,100,500,0.45,0,0.237,0.425,0.139,0.731,1.777,0.017,0.131,0.341,0.003,0.027,0.079,0.001,0.01,0.029
0.5,1.00E-04,0,60,100,500,0.45,45,0.237,0.425,0.149,0.735,1.735,0.017,0.139,0.372,0.003,0.029,0.083,0.001,0.01,0.031
0.5,1.00E-04,0,60,100,500,0.45,90,0.237,0.425,0.069,0.279,0.6,0.015,0.11,0.284,0.003,0.027,0.078,0.001,0.01,0.03
0.5,1.00E-04,0,60,100,750,0.45,0,0.147,0.442,0.209,1.337,3.646,0.016,0.144,0.415,0.002,0.026,0.082,0.001,0.009,0.029
0.5,1.00E-04,0,60,100,750,0.45,45,0.147,0.442,0.219,1.313,3.472,0.017,0.15,0.443,0.002,0.027,0.086,0.001,0.01,0.03
0.5,1.00E-04,0,60,100,750,0.45,90,0.147,0.442,0.125,0.589,1.349,0.015,0.128,0.373,0.002,0.026,0.082,0.001,0.01,0.03
0.5,1.00E-04,0,60,100,1000,0.45,0,0.099,0.5,0.25,1.831,5.439,0.015,0.145,0.444,0.002,0.024,0.08,0.001,0.008,0.028
0.5,1.00E-04,0,60,100,1000,0.45,45,0.099,0.5,0.262,1.819,5.258,0.016,0.149,0.466,0.002,0.025,0.083,0.001,0.009,0.029
0.5,1.00E-04,0,60,100,1000,0.45,90,0.099,0.5,0.177,1.028,2.569,0.014,0.131,0.41,0.002,0.025,0.08,0.001,0.009,0.029
0.5,1.00E-04,0,60,100,1500,0.45,0,0.056,0.437,0.284,2.412,7.973,0.013,0.132,0.436,0.002,0.02,0.07,0.001,0.007,0.024
0.5,1.00E-04,0,60,100,1500,0.45,45,0.056,0.437,0.295,2.416,7.871,0.013,0.134,0.447,0.002,0.021,0.072,0.001,0.007,0.025
0.5,1.00E-04,0,60,100,1500,0.45,90,0.056,0.437,0.229,1.796,5.399,0.012,0.118,0.402,0.002,0.02,0.07,0.001,0.007,0.024
0.5,1.00E-04,0,100,100,500,0.45,0,0.412,0.904,0.041,0.172,0.371,0.005,0.041,0.104,0.001,0.007,0.018,0,0.002,0.006
0.5,1.00E-04,0,100,100,500,0.45,45,0.412,0.904,0.043,0.183,0.387,0.005,0.041,0.103,0.001,0.007,0.02,0,0.003,0.007
0.5,1.00E-04,0,100,100,500,0.45,90,0.412,0.904,0.018,0.068,0.137,0.004,0.032,0.076,0.001,0.007,0.018,0,0.003,0.007
0.5,1.00E-04,0,100,100,750,0.45,0,0.286,0.785,0.071,0.353,0.829,0.006,0.052,0.14,0.001,0.008,0.023,0,0.003,0.008
0.5,1.00E-04,0,100,100,750,0.45,45,0.286,0.785,0.076,0.367,0.838,0.006,0.053,0.143,0.001,0.009,0.024,0,0.003,0.008
0.5,1.00E-04,0,100,100,750,0.45,90,0.286,0.785,0.033,0.131,0.274,0.005,0.044,0.113,0.001,0.008,0.023,0,0.003,0.008
0.5,1.00E-04,0,100,100,1000,0.45,0,0.207,0.781,0.103,0.603,1.572,0.006,0.06,0.171,0.001,0.009,0.026,0,0.003,0.009
0.5,1.00E-04,0,100,100,1000,0.45,45,0.207,0.781,0.109,0.606,1.522,0.006,0.061,0.175,0.001,0.009,0.028,0,0.003,0.01
0.5,1.00E-04,0,100,100,1000,0.45,90,0.207,0.781,0.055,0.241,0.532,0.006,0.053,0.147,0.001,0.009,0.027,0,0.003,0.009
0.5,1.00E-04,0,100,100,1500,0.45,0,0.115,0.796,0.147,1.027,3.083,0.006,0.062,0.195,0.001,0.009,0.028,0,0.003,0.009
