|             Name|  SpT|  Dist|     Mstar|  Flux|ObsWave| Det|    MDust|
|             char| char|double|     float| float| double|long|   double|
|                 |     |      |          |   mJy|       |    |         |
|             null| null|  null|      null|  null|   null|null|     null|
 J15354856-2958551    M4  145.0  0.2630268   1.92   880.0    1   0.40986 
 J15514032-2146103    M4  145.0 0.19952624   0.76   880.0    1   0.16223 
 J15521088-2125372    M4  145.0 0.17782794   0.45   880.0    0   0.09606 
 J15530132-2114135    M4  145.0 0.20892961   5.78   880.0    1   1.23384 
 J15534211-2049282  M3.5  145.0 0.26915348   2.93   880.0    1   0.62546 
 J15562477-2225552    M4  145.0 0.20892961   0.54   880.0    0   0.11527 
 J15570641-2206060    M4  145.0 0.19054607   0.60   880.0    0   0.12808 
 J15572986-2258438    M4  145.0 0.19952624   0.60   880.0    0   0.12808 
 J15582981-2310077    M3  145.0  0.2570396   5.86   880.0    1   1.25092 
 J15583692-2257153    G7  145.0  1.3803843 174.92   880.0    1  37.33963 
 J16001730-2236504    M4  145.0 0.24547088   0.45   880.0    0   0.09606 
 J16001844-2230114  M4.5  145.0 0.18620871   3.89   880.0    1   0.83039 
 J16014086-2258103    M4  145.0 0.23442288   3.45   880.0    1   0.73646 
 J16014157-2111380    M4  145.0 0.18620871   0.66   880.0    1   0.14089 
 J16020757-2257467  M2.5  145.0 0.33884415   5.26   880.0    1   1.12284 
 J16024152-2138245 M4.75  145.0 0.15488166  10.25   880.0    1   2.18804 
 J16030161-2207523 M4.75  145.0 0.15135613   2.81   880.0    1   0.59984 
 J16031329-2112569 M4.75  145.0 0.15848932   0.36   880.0    0   0.07685 
 J16032225-2413111  M3.5  145.0  0.2630268   2.42   880.0    1   0.51659 
 J16035767-2031055    K5  145.0  1.0471286   4.30   880.0    1   0.91791 
 J16035793-1942108    M2  145.0 0.36307806   1.17   880.0    1   0.24976 
 J16041740-1942287  M3.5  145.0 0.25118864   0.89   880.0    1   0.18999 
 J16042165-2130284    K2  145.0        1.0 218.76   880.0    1  46.69802 
 J16052556-2035397    M5  145.0 0.14791085   1.53   880.0    1    0.3266 
 J16052661-1957050  M4.5  145.0 0.18620871   0.45   880.0    0   0.09606 
 J16053215-1933159    M5  145.0 0.14125374   0.60   880.0    0   0.12808 
 J16054540-2023088    M2  145.0 0.36307806   7.64   880.0    1   1.63089 
 J16055863-1949029    M4  145.0 0.20892961   0.45   880.0    0   0.09606 
 J16060061-1957114    M5  145.0 0.15848932   0.39   880.0    0   0.08325 
 J16062196-1928445    M0  145.0 0.56234133   4.08   880.0    1   0.87094 
 J16062277-2011243    M5  145.0 0.14791085   0.59   880.0    1   0.12595 
 J16063539-2516510  M4.5  145.0 0.15848932   1.69   880.0    1   0.36076 
 J16064102-2455489  M4.5  145.0 0.15848932   3.05   880.0    1   0.65107 
