|             Name|    MDust| e_MDust|
|             char|   double|  double|
|                 |         |        |
|             null|     null|    null|
 J15430131-3409153   0.00235  0.07288 
 J15430227-3444059   0.05172  0.06347 
 J15445789-3423392  -0.01175  0.04232 
 J15450634-3417378   3.52637  0.09404 
 J15450887-3417333  10.87769  0.11755 
 J15592523-4235066  -0.00705  0.04467 
 J16000060-4221567   0.56422  0.04467 
 J16000236-4222145  28.17573  0.14811 
 J16002612-4153553   0.28211  0.04467 
 J16011549-4152351  19.29397  0.20923 
 J16070384-3911113   1.88909  0.22987 
 J16070854-3914075   38.4798  0.62273 
 J16073773-3921388   0.79827  0.07523 
 J16075475-3915446   1.06575  0.19225 
 J16080017-3902595     1.258  0.07105 
 J16080175-3912316   0.11702  0.10866 
 J16081497-3857145   3.47727  0.12538 
  J160828.1-391310   0.09613  0.07523 
 J16083070-3828268  56.55155  0.46809 
  J160831.1-385600   0.10449  0.10866 
 J16084940-3905393    0.7105  0.07105 
 J16085324-3914401    8.1791  0.11702 
 J16085373-3914367   1.32487  0.07941 
 J16085529-3848481   0.75647  0.07523 
 J16085828-3907355   0.06687  0.10449 
 J16085834-3907491   0.01672  0.10866 
 J16090141-3925119   7.31396   0.2842 
 J16091644-3904438   0.10031  0.10866 
 J16092032-3904015   0.05433  0.10031 
 J16092317-3904074   0.10449  0.10866 
 J16092697-3836269   1.62579  0.11284 
  J160934.2-391513  -0.23405  0.11702 
 J16093928-3904316   0.05015  0.10866 
 J16095628-3859518   3.10948  0.07523 
 J16100133-3906449   0.13792  0.10449 
 J16101307-3846165   0.00418  0.07941 
 J16101857-3836125  -0.19225  0.07523 
 J16101984-3836065   0.22987  0.07941 
 J16102741-3902299   0.24659  0.11284 
 J16102955-3922144    2.9841  0.14628 
 J16104536-3854547  -0.23405   0.1212 
 J16115979-3823383   0.03761  0.07523 
 J16120445-3809589  -0.01672  0.11702 
 J16121120-3832197   0.03344  0.11284 
 J16124373-3815031  12.48807  0.20479 
 J16134410-3736462   0.89439  0.12538 
            MY Lup  41.56655  0.17867 
            RY Lup  64.76775  0.27271 
            Sz 100  22.92405  0.24241 
            Sz 103   4.82304  0.11702 
            Sz 104   1.31651  0.07941 
            Sz 106    0.8317  0.08359 
           Sz 108B  11.18827   0.1421 
            Sz 110   6.43629   0.1212 
            Sz 111  74.97438  0.40958 
            Sz 112   1.62579  0.07105 
            Sz 113   9.34097  0.11284 
            Sz 114  40.29366  0.17136 
            Sz 115    0.1212  0.07523 
            Sz 117   4.37584  0.07523 
            Sz 118  26.47236   0.4054 
           Sz 123A  16.98511  0.23405 
           Sz 123B  -0.11702  0.07941 
            Sz 129   42.5798  0.12225 
            Sz 130   1.45522  0.08228 
            Sz 131   2.01474  0.06818 
            Sz 133  16.23308  0.18102 
             Sz 65  15.16106  0.07523 
             Sz 66   3.47465  0.06818 
             Sz 68  35.35073  0.10814 
             Sz 69   3.98715  0.06583 
             Sz 71  39.03461  0.14811 
             Sz 72   3.31479  0.06583 
             Sz 73   7.15384   0.1293 
             Sz 74   4.92282  0.06347 
            Sz 81A   2.22397  0.04232 
             Sz 82 141.05499 21.15825 
             Sz 83 100.36062  0.16927 
             Sz 84   7.67339  0.09404 
            Sz 88A   3.73639  0.12538 
            Sz 88B  -0.08359  0.07941 
             Sz 90   9.12365  0.19225 
             Sz 95    1.7052  0.07523 
             Sz 96    1.7052  0.11702 
             Sz 97   1.93924  0.07523 
             Sz 98  99.17315  0.59348 
             Sz 99  -0.01672  0.07523 
         V1192 Sco   0.38033  0.07941 
          V856 Sco  23.32527  0.11702 
